HUGE_NEGATIVE -> -1000.0
HUGE_POSITIVE -> 1000.0
STOP_TIME -> 0
STOP_ITERATIONS -> 1
STOP_FMCALLS -> 2
CUSTOM_HEURISTIC -> 0
ADVANCED_HEURISTIC -> 1
epsilon -> 1.0E-6
K -> 1.4142135623730951
rollout_depth -> 14
heuristic_method -> 0
stop_type -> 1
num_iterations -> 300
num_fmcalls -> 2000
num_time -> 40
SAFE_PLACE_DEFAULT -> 0
SAFE_PLACE_ADVANCED -> 1
SAFE_PLACE_EARLY_STOP -> 2
safe_place_method -> 0
UCT_UCB1 -> 0
UCT_UCB1_TURNED -> 1
uct_method -> 0
uctBias -> 0.1
progressiveUnpruningEnable -> true
progressiveUnpruningT -> 30
progressiveUnpruningKInit -> 3
progressiveUnpruningA -> 50.0
progressiveUnpruningB -> 1.3
WARNING: Invalid agent ID: 7
0-20-5--1-0-7-0-5 [DoNothing,MCV2,DoNothing,MCTS]
1636325041935, 61920, 0/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325076886, 61920, 1/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325103618, 61920, 2/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325144963, 61920, 3/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325175142, 61920, 4/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325202899, 18335, 5/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325229611, 18335, 6/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325254843, 18335, 7/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325280864, 18335, 8/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325306873, 18335, 9/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325335608, 64493, 10/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325381348, 64493, 11/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325410340, 64493, 12/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325438398, 64493, 13/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325466010, 64493, 14/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325497777, 12400, 15/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325532180, 12400, 16/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325561116, 12400, 17/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325593004, 12400, 18/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325630978, 12400, 19/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325664874, 12578, 20/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325697670, 12578, 21/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325730901, 12578, 22/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325762098, 12578, 23/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325793577, 12578, 24/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325826193, 36576, 25/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325859697, 36576, 26/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325890108, 36576, 27/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325932845, 36576, 28/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325969308, 36576, 29/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326014739, 84911, 30/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326042962, 84911, 31/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326072591, 84911, 32/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326109204, 84911, 33/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326143279, 84911, 34/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326184028, 68048, 35/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326222443, 68048, 36/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326256930, 68048, 37/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326293838, 68048, 38/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326332967, 68048, 39/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326373363, 83391, 40/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326405329, 83391, 41/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326447714, 83391, 42/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326485731, 83391, 43/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326516732, 83391, 44/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326546762, 69024, 45/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326571804, 69024, 46/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326594948, 69024, 47/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326619681, 69024, 48/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326657475, 69024, 49/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326689580, 98697, 50/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326720565, 98697, 51/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326752457, 98697, 52/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326785537, 98697, 53/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326818312, 98697, 54/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326852566, 50607, 55/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326885841, 50607, 56/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326920441, 50607, 57/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326953282, 50607, 58/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326986276, 50607, 59/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327019926, 27143, 60/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327052943, 27143, 61/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327083742, 27143, 62/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327114754, 27143, 63/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327145500, 27143, 64/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327176843, 87623, 65/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327210880, 87623, 66/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327246577, 87623, 67/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327281856, 87623, 68/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327316622, 87623, 69/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327353100, 32043, 70/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327389114, 32043, 71/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327421428, 32043, 72/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327453078, 32043, 73/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327488010, 32043, 74/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327525751, 85865, 75/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327556066, 85865, 76/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327603197, 85865, 77/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327630015, 85865, 78/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327654081, 85865, 79/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327681999, 26554, 80/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327705903, 26554, 81/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327733114, 26554, 82/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327760541, 26554, 83/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327785264, 26554, 84/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327820166, 77807, 85/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327847103, 77807, 86/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327873158, 77807, 87/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327895981, 77807, 88/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327918539, 77807, 89/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327941347, 26520, 90/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327966290, 26520, 91/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327991923, 26520, 92/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636328017380, 26520, 93/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328045560, 26520, 94/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636328072496, 9337, 95/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636328097942, 9337, 96/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636328123042, 9337, 97/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328150268, 9337, 98/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636328176639, 9337, 99/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
N 	Win 	Tie 	Loss 	Player (overtime average)
