HUGE_NEGATIVE -> -1000.0
HUGE_POSITIVE -> 1000.0
STOP_TIME -> 0
STOP_ITERATIONS -> 1
STOP_FMCALLS -> 2
CUSTOM_HEURISTIC -> 0
ADVANCED_HEURISTIC -> 1
epsilon -> 1.0E-6
K -> 1.4142135623730951
rollout_depth -> 14
heuristic_method -> 0
stop_type -> 1
num_iterations -> 300
num_fmcalls -> 2000
num_time -> 40
SAFE_PLACE_DEFAULT -> 0
SAFE_PLACE_ADVANCED -> 1
SAFE_PLACE_EARLY_STOP -> 2
safe_place_method -> 0
UCT_UCB1 -> 0
UCT_UCB1_TURNED -> 1
uct_method -> 0
uctBias -> 0.1
progressiveUnpruningEnable -> true
progressiveUnpruningT -> 30
progressiveUnpruningKInit -> 4
progressiveUnpruningA -> 60.0
progressiveUnpruningB -> 1.3
WARNING: Invalid agent ID: 7
0-20-5--1-0-7-0-5 [DoNothing,MCV2,DoNothing,MCTS]
1636325041935, 16167, 0/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325075530, 16167, 1/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325101017, 16167, 2/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325139879, 16167, 3/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325171903, 16167, 4/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325199415, 31904, 5/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325224967, 31904, 6/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325248061, 31904, 7/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325271335, 31904, 8/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325296482, 31904, 9/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325321485, 85230, 10/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325356043, 85230, 11/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325393123, 85230, 12/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325420845, 85230, 13/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325446922, 85230, 14/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325474089, 21909, 15/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325507028, 21909, 16/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325535362, 21909, 17/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325562496, 21909, 18/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325589498, 21909, 19/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636325622895, 20847, 20/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325654893, 20847, 21/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325687426, 20847, 22/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325720551, 20847, 23/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325752653, 20847, 24/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325785419, 66173, 25/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325816389, 66173, 26/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325854295, 66173, 27/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636325885789, 66173, 28/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636325931356, 66173, 29/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636325969893, 1606, 30/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326019064, 1606, 31/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326047414, 1606, 32/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326076082, 1606, 33/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326113431, 1606, 34/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326143508, 81569, 35/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326182124, 81569, 36/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326218069, 81569, 37/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326249051, 81569, 38/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326280281, 81569, 39/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326320946, 23128, 40/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636326346498, 23128, 41/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636326379909, 23128, 42/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326413131, 23128, 43/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636326449154, 23128, 44/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636326484318, 72017, 45/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326513143, 72017, 46/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326540534, 72017, 47/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326567184, 72017, 48/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326592444, 72017, 49/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326616817, 98451, 50/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326653511, 98451, 51/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326688403, 98451, 52/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326720170, 98451, 53/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326752433, 98451, 54/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326783829, 72186, 55/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636326817898, 72186, 56/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326848869, 72186, 57/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326883119, 72186, 58/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636326918041, 72186, 59/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326952760, 61025, 60/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636326987541, 61025, 61/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327018971, 61025, 62/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327053208, 61025, 63/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327087113, 61025, 64/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327119946, 78325, 65/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327148107, 78325, 66/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327176279, 78325, 67/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327204698, 78325, 68/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327233987, 78325, 69/100, [TIE (0), TIE (1), TIE (0), TIE (0)]
1636327262262, 45243, 70/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327293290, 45243, 71/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327322819, 45243, 72/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327356325, 45243, 73/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327388379, 45243, 74/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327418812, 581, 75/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327446460, 581, 76/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327475967, 581, 77/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327511720, 581, 78/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327539565, 581, 79/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327571917, 93504, 80/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327612300, 93504, 81/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327638105, 93504, 82/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327662760, 93504, 83/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327689292, 93504, 84/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327719038, 79378, 85/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327750850, 79378, 86/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327778467, 79378, 87/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327811864, 79378, 88/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327847792, 79378, 89/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327878676, 18388, 90/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327905517, 18388, 91/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636327933144, 18388, 92/100, [LOSS (0), LOSS (1), LOSS (0), WIN (0)]
1636327960321, 18388, 93/100, [LOSS (0), TIE (1), LOSS (0), TIE (0)]
1636327987858, 18388, 94/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
1636328014189, 47420, 95/100, [LOSS (0), WIN (1), LOSS (0), LOSS (0)]
